rank,prev_rank,name,league,off,def,spi
589,593,Exeter City,English League Two,0.6,2.14,14.93
590,591,Aalesund,Norwegian Tippeligaen,0.8,2.54,14.7
591,584,Bolton,English League Two,0.56,2.1,14.54
592,589,Northampton Town,English League One,0.55,2.1,14.4
593,594,Mjondalen,Norwegian Tippeligaen,0.54,2.1,14.13
594,609,Memphis 901 FC,United Soccer League,0.68,2.39,13.95
595,597,Chippa United,South African ABSA Premier League,0.26,1.54,13.92
596,590,Bristol Rovers,English League One,0.51,2.08,13.82
597,599,Hartford Athletic,United Soccer League,0.69,2.44,13.81
598,600,Portland Timbers 2,United Soccer League,0.84,2.72,13.62
599,595,Rochdale,English League One,0.53,2.13,13.59
600,603,Bradford City,English League Two,0.49,2.07,13.58
601,598,AmaZulu,South African ABSA Premier League,0.31,1.68,13.48
602,596,Mansfield Town,English League Two,0.57,2.23,13.45
603,604,Tulsa Roughnecks,United Soccer League,0.52,2.14,13.43
604,612,Crewe Alexandra,English League One,0.46,2.03,13.34
605,602,Leyton Orient,English League Two,0.55,2.22,13.23
606,606,Las Vegas Lights FC,United Soccer League,0.61,2.37,12.87
607,605,Baroka FC,South African ABSA Premier League,0.24,1.57,12.84
608,601,Port Vale,English League Two,0.41,1.99,12.6
609,614,Crawley Town,English League Two,0.47,2.15,12.43
610,608,Colorado Springs Switchbacks FC,United Soccer League,0.55,2.31,12.4
611,607,Tacoma Defiance,United Soccer League,0.67,2.56,12.36
612,611,Stellenbosch FC,South African ABSA Premier League,0.35,1.89,12.29
613,610,New York Red Bulls II,United Soccer League,0.75,2.76,11.96
614,613,Black Leopards,South African ABSA Premier League,0.39,2.03,11.75
615,617,Barrow,English League Two,0.43,2.24,10.7
616,619,Scunthorpe,English League Two,0.4,2.19,10.58
617,616,Oklahoma City Energy FC,United Soccer League,0.36,2.11,10.5
618,618,Forest Green Rovers,English League Two,0.35,2.12,10.37
619,615,Swope Park Rangers,United Soccer League,0.57,2.61,10.21
620,625,Atlanta United 2,United Soccer League,0.58,2.64,10.2
621,620,Tranmere Rovers,English League Two,0.35,2.13,10.08
622,621,Southend United,English League Two,0.41,2.34,9.66
